Name,upload_date,category,view_count,like_count,dislike_count,frames,number_shots,dark_perc_std,dark_perc_mean,saturated_perc_std,saturated_perc_mean,red_perc_std,red_perc_mean,white_perc_std,white_perc_mean,tags
Paris Outfit Diaries-4kc5JkjRnuQ,20161117,Howto & Style,14542,553,4,4845,78,48.98376671,80.60228312,3.652065753,0.528099929,5.594438956,1.404991271,57.5790833,262.9179761,"paris outfit diaries, paris what i wore, what i wore paris, paris outfits, paris lookbook, paris winter outfits, paris summer outfits, paris fall outfits, paris outfit ideas, paris outfit ideas 2016, paris what i wore 2016, what i wore paris 2016, paris outfit diaries 2016, outfit diaries july, outfit diaries travel, bestdressed, paris fashion, what i wore in paris, what i wore in paris 2016, ootw paris, ootw paris 2016, paris lookbook 2016, modelcitizen"
plan with me setting up my first bullet journal!-i1rn-mhNElQ,20191103,Howto & Style,936347,72108,270,20155,258,79.27787192,43.63285338,12.09279296,3.726920307,13.65694111,10.30001825,74.56828007,182.7007905,"bullet journal, bujo, bullet journal setup, bullet journal setup 2019, bullet journal setup 2020, practical bullet journal, minimal bullet journal, november bullet journal, plan with me, bullet journal flipthrough, planner setup, how i stay organized, bullet journal timelapse, bullet journal flip through, bullet journal beginners, bullet journal minimalist, bullet journal for students, bullet journal for college, bullet journal ideas, productive day in my life"
preparing to make 2020 my b_tch-Es3RnyhX9Y4,20200102,Howto & Style,1470518,111635,811,24956,368,75.72574824,97.93940611,39.18227253,17.31631982,47.18288079,23.74416352,104.0564059,145.4483905,"2020 resolutions, new years reset, new years routine, reviewing my decade, reflecting on 2019, my year in review, my year in 5 minutes, NYE, grwm, grwm for new years, vlogmas, new years outfit, new years resolutions, bullet journal, bullet journal 2020, bullet journal setup 2020, productive day in my life, how i stay productive, productivity tips, my favorite movies, best movies 2019, cleaning my apartment, productive sunday, organizing my apartment, cleaning my bedroom, 2020"
PROM DRESSES FOR UNDER 30,20180419,Howto & Style,745235,23811,206,16283,195,30.42636989,39.66299993,1.726365954,0.274718277,2.759879114,2.056069614,50.37086267,280.1025554,"prom dress shopping, prom dress try on, prom dress shopping online, prom dress haul, affordable prom dresses, thrifted prom dress, affordable prom dresses 2018, affordable prom dresses online, diy prom dress, diy prom dress no sew, cheap prom dresses, cheap prom dresses online, cheap prom dress haul, where to buy cheap prom dresses, prom look, prom lookbook, prom lookbook 2018, prom dress thrift store, prom dress thrifted transformation"
"Q+A _ college decisions, confidence, my first kiss lol-yttmkiXFvR8",20180125,Howto & Style,222876,9712,42,17996,91,24.41417236,71.56857043,0.280923051,0.074997194,1.722274877,1.31566358,36.26055656,273.0431103,"q&a video, q&a life, college q&a, college q and a, q and a, q+a, q+a college, my college decision, my college decisions process, how to be confident, my first kiss story, first kiss, first kiss storytime, ucla, what is ucla life, applying to film school, film school application, ucla film school, my college decision 2018, how i got into stanford, how i got into columbia, accepted to stanford, accepted to columbia, how to get into an ivy, stanford application, bestdressed"
QUICK + EASY HEATLESS CURLS (that actually look good)-rhWnr06T-oY,20170817,Howto & Style,71189,2617,18,8093,71,24.92934138,42.63568207,25.61338946,3.292875898,4.834249798,0.871598447,44.50121247,288.3842153,"heatless curls, heatless curls that last all day, heatless curls for short hair, heatless curls for medium hair, heatless curls overnight, heatless waves, heatless curls overnight for medium hair, hearless waves overnight, easy heatless curls, easy heatless waves, quick heatless curls, easy heatless curls in 5 minutes, heatless curl tutorial, best heatless curls, how to style a lob no heat, how to style a lob heatless"
reading people's assumptions about me _sPicY-tAe2CaBO3hI,20190203,Howto & Style,2009368,113483,501,21826,155,12.31108793,93.26623176,0.307674113,0.062855406,2.116908776,0.864132061,53.60374418,207.0590196,"reading people's assumptions about me, reading assumptions about me, best dressed sexuality, reading yout assumptions about me, my subscribers bully me, reading hate comments, letting my subscribers bully me, reacting to hate comments, assumptions, instagram q and a, best dressed q and a, personal q and a, spicy q and a, reading peoples assumptions, reading peoples assumptions 2019, reacting to your assumptions, what you assumed about me"
"real talk about breakups, boys, and blowjobs lol-U4mQQc2XUOk",20190829,Howto & Style,2145623,176662,691,36957,155,46.73256756,107.4589023,2.372011782,2.440094484,5.870609955,12.09616455,10.81973313,2.625111045,"girl talk, how to get over a breakup, best dressed boyfriend, heartbreak, sex Q + A, sex q+a, casual dating, hookup culture, making friends after college, how to make friends, lonliness, commitment, how to heal after a breakup, crush, age gaps, nudes, age gap relationship, dating, dating advice, relationship advice, sex advice, oral sex, girl talk sex, life update, all the tea you need to know about me, personal q+a"
reviewing my _iconic_ middle school outfits-kKkjTbt9ArQ,20190726,Howto & Style,1439032,87604,487,15111,166,44.33926932,92.5576264,18.83755503,4.297795351,33.97804621,15.88507586,61.80671724,188.5239077,"my style evolution, fashion evolution, style evolution, i dressed like the 2000s, i dressed like the 2010s, i dressed like 2008, i dressed like 2010, 2000s, 2010s, fashion review, fashion week review, runway review, outfits for school, my middle school experience, glo up, my glo up, glow up, how to find your style, my hair journey, my style journey, my fashion journey, hair evolution, met gala review, oscars review"
ROOM TOUR (styling a small bedroom)-QOyVhZGrX6Q,20180426,Howto & Style,309741,13204,70,6866,140,75.048015,85.00693895,77.95119243,51.91072683,91.59840083,75.46436832,105.5698858,109.879593,"colorful room tour, room tour, colorful room decor, colorful room makeover, childhood bedroom, bedroom tour, bedroom makeover, colorful room tour 2018, colorful room tour 2017, room tour 2018, small bedroom tour, bedroom tour minimalist, bedroom tour small, room tour aesthetic, room tour artsy, room tour kids, room tour colorful, room tour tumblr, room tour 2018 tumblr, room tour 2018 kids, room tour 2018 teenager, bedroom tour small room, bedroom tour artsy"
ROOM TOUR _ my tiny college apartment in LA-d-cKzEKyK9I,20171207,Howto & Style,310873,9069,77,12855,232,52.06928733,94.5861524,3.637615484,1.076930865,4.969652014,2.952593943,70.03773691,239.1602424,"room tour, room tour 2017, room tour aesthetic, room tour tumblr, room tour 2017 tumblr, room tour lights, room tour white, room tour white and gold, room tour college, room tour college apartment, room tour college dorm, apartment tour, apartment tour 2017, apartment tour los angeles, apartment tour la, tiny apartment, tiny apartment tour, tiny apartment tour la, tiny apartment tour los angeles, college room tour, college room tour 2017, college apartment tour"
SCHOOL OUTFIT IDEAS 2017-18 _ First Week of School-ms-qa4YxBeg,20170803,Howto & Style,75115,2391,8,8591,88,20.80518931,18.32032556,0.233409284,0.042892958,0.099156789,0.016741153,27.92076381,347.5706707,"school outfit ideas 2017, ootw first week of school, ootw first week of high school, ootw first week of college, ootw first week of school 2017, school outfits, school outfit ideas for high school, school outfit ideas summer, outfit ideas 2017, school lookbook, school lookbook 2017, school lookbook summer, cute school outfits, cute school outfits 2017, cute school outfit ideas, cute school outfits for high school, first day of school, cute school outfits for summer"
"Shoe Collection 2016 _ Boots, Flats, Heels, & Sneakers-7gKZuHatb8k",20160128,Howto & Style,115742,1802,38,14038,56,24.09736519,56.5540229,0.594919994,0.326225008,5.421893855,9.815297145,45.70904685,191.6714173,"shoe collection, shoe collection 2016, shoe collection girls, shoe collection heels, shoe collection flats, shoe collection sneakers, shoe collection on feet, try on shoe collection shoe collection try on, shoe collection boots, my shoe collection, shoe collection 2015, heels collection, boots collection, sneakers collection, flats collection, huge shoe collection, shoe collection try on, shoe collection school, my shoe collection 2016, shoe collection womens"
SPRING _ SUMMER LOOKBOOK 2018-SUmKehi_9hI,20180511,Howto & Style,187370,6962,69,3860,117,60.85258694,60.87700417,13.33821758,4.0613142,11.37309269,4.882769494,106.9573827,216.4556277,"summer lookbook 2018, spring lookbook 2018, outfit ideas summer, outfit ideas summer 2018, outfit ideas spring 2018, spring outfit ideas, spring trends, gingham dress, how to style gingham, casual outfit ideas, outfit ideas spring, lookbook 2018, lookbook spring 2018, summer outfits, casual spring outfits, casual summer outfits, outfits for spring, outfits for school, summer lookbook, spring lookbook, spring summer lookbook, LA lookbook, LA outfits"
spring cleaning my closet! -esTFzXCH1Xc,20180524,Howto & Style,522457,16407,117,14027,303,44.8446936,73.46560873,4.411472077,2.038700144,7.690297031,5.224829054,64.39578269,255.4309282,"spring cleaning 2018, spring cleaning my room, spriong cleaning routine, spring cleaning tips, organizing my closet, organizing my closet small, organizing my closet 2018, organizing my closet by color, cleaning my closet, cleaning my closet timelapse, cleaning my closet 2018, cleaning my closet and room, cleaning my closet out, cleaninbg my room, organizing my room, cleaning my room college, closet organization tips, capsule wardrobe, minimalism"
"Spring Try On Haul 2016 Brandy Melville, A&F, F21, AE-tLCnbPltqLc",20160422,Howto & Style,16758,533,5,17359,123,30.45004143,48.51751175,34.74936586,39.27077883,52.4261218,88.53976667,82.21711887,171.1617252,"spring haul 2016, spring haul 2016 try on, spring haul 2016 forever 21, spring haul forever 21, brandy melville haul, forever 21 haul, american eagle haul, abercrombie haul, brandy meilville haul 2016, brandy melville try on haul, brandy melville try on haul 2016, brandy melville try on haul spring 2016, forever 21 try on haul 2016, forever 21 try on haul spring 2016, try on clothing haul, spring clothing haul, spring try on haul, try on haul forever 21"
